date,facility,infant_deaths
September 2011,"Regional Hospital, Bolgatanga",3
September 2011,Bongo Hospital,3
September 2011,Sandema Hospital,1
September 2011,War Memorial Hospital,6
October 2011,Bawku Presby Hospital,0
October 2011,Zebilla Hospital,0
October 2011,"Regional Hospital, Bolgatanga",3
October 2011,Bongo Hospital,2
October 2011,Sandema Hospital,1
October 2011,War Memorial Hospital,9
November 2011,Bawku Presby Hospital,2
November 2011,Zebilla Hospital,1
November 2011,"Regional Hospital, Bolgatanga",0
November 2011,Bongo Hospital,2
November 2011,Sandema Hospital,0
November 2011,War Memorial Hospital,3
December 2011,Bawku Presby Hospital,1
December 2011,Zebilla Hospital,0
December 2011,"Regional Hospital, Bolgatanga",8
December 2011,Bongo Hospital,4
December 2011,Sandema Hospital,1
December 2011,War Memorial Hospital,6
January 2012,Bawku Presby Hospital,2
January 2012,Zebilla Hospital,6
January 2012,"Regional Hospital, Bolgatanga",5
January 2012,Bongo Hospital,3
January 2012,Sandema Hospital,0
January 2012,War Memorial Hospital,6
February 2012,Bawku Presby Hospital,4
February 2012,Zebilla Hospital,7
February 2012,"Regional Hospital, Bolgatanga",5
February 2012,Bongo Hospital,1
February 2012,Sandema Hospital,1
February 2012,War Memorial Hospital,9
March 2012,Bawku Presby Hospital,8
March 2012,Zebilla Hospital,1
March 2012,"Regional Hospital, Bolgatanga",0
March 2012,Bongo Hospital,0
March 2012,Sandema Hospital,4
March 2012,War Memorial Hospital,5
April 2012,Bawku Presby Hospital,6
April 2012,Zebilla Hospital,1
April 2012,"Regional Hospital, Bolgatanga",1
April 2012,Bongo Hospital,1
April 2012,Sandema Hospital,0
April 2012,War Memorial Hospital,3
May 2012,Bawku Presby Hospital,4
May 2012,Zebilla Hospital,1
May 2012,"Regional Hospital, Bolgatanga",2
May 2012,Bongo Hospital,1
May 2012,Sandema Hospital,0
May 2012,War Memorial Hospital,3
June 2012,Bawku Presby Hospital,2
June 2012,Zebilla Hospital,4
June 2012,"Regional Hospital, Bolgatanga",2
June 2012,Bongo Hospital,0
June 2012,Sandema Hospital,0
June 2012,War Memorial Hospital,5
July 2012,Bawku Presby Hospital,1
July 2012,Zebilla Hospital,1
July 2012,"Regional Hospital, Bolgatanga",1
July 2012,Bongo Hospital,0
July 2012,Sandema Hospital,1
July 2012,War Memorial Hospital,5
August 2012,Bawku Presby Hospital,8
August 2012,Zebilla Hospital,3
August 2012,"Regional Hospital, Bolgatanga",0
August 2012,Bongo Hospital,4
August 2012,Sandema Hospital,1
August 2012,War Memorial Hospital,7
September 2012,Bawku Presby Hospital,2
September 2012,Zebilla Hospital,2
September 2012,"Regional Hospital, Bolgatanga",2
September 2012,Bongo Hospital,0
September 2012,Sandema Hospital,0
September 2012,War Memorial Hospital,3
October 2012,Bawku Presby Hospital,2
October 2012,Zebilla Hospital,4
October 2012,"Regional Hospital, Bolgatanga",1
October 2012,Bongo Hospital,2
October 2012,Sandema Hospital,0
October 2012,War Memorial Hospital,4
November 2012,Bawku Presby Hospital,5
November 2012,Zebilla Hospital,1
November 2012,"Regional Hospital, Bolgatanga",2
November 2012,Bongo Hospital,0
November 2012,Sandema Hospital,0
November 2012,War Memorial Hospital,4
December 2012,Bawku Presby Hospital,8
December 2012,Zebilla Hospital,2
December 2012,"Regional Hospital, Bolgatanga",0
December 2012,Bongo Hospital,2
December 2012,Sandema Hospital,2
December 2012,War Memorial Hospital,4
January 2013,Bawku Presby Hospital,4
January 2013,Zebilla Hospital,3
January 2013,"Regional Hospital, Bolgatanga",3
January 2013,Bongo Hospital,0
January 2013,Sandema Hospital,0
January 2013,War Memorial Hospital,2
February 2013,Bawku Presby Hospital,5
February 2013,Zebilla Hospital,2
February 2013,"Regional Hospital, Bolgatanga",2
February 2013,Bongo Hospital,1
February 2013,Sandema Hospital,0
February 2013,War Memorial Hospital,2
March 2013,Bawku Presby Hospital,2
March 2013,Zebilla Hospital,2
March 2013,"Regional Hospital, Bolgatanga",3
March 2013,Bongo Hospital,0
March 2013,Sandema Hospital,1
March 2013,War Memorial Hospital,5
April 2013,Bawku Presby Hospital,5
April 2013,Zebilla Hospital,0
April 2013,"Regional Hospital, Bolgatanga",0
April 2013,Bongo Hospital,0
April 2013,Sandema Hospital,0
April 2013,War Memorial Hospital,5
May 2013,Bawku Presby Hospital,3
May 2013,Zebilla Hospital,1
May 2013,"Regional Hospital, Bolgatanga",2
May 2013,Bongo Hospital,2
May 2013,Sandema Hospital,0
May 2013,War Memorial Hospital,1
June 2013,Bawku Presby Hospital,5
June 2013,Zebilla Hospital,3
June 2013,"Regional Hospital, Bolgatanga",2
June 2013,Bongo Hospital,0
June 2013,Sandema Hospital,0
June 2013,War Memorial Hospital,1
July 2013,Bawku Presby Hospital,3
July 2013,Zebilla Hospital,1
July 2013,"Regional Hospital, Bolgatanga",2
July 2013,Bongo Hospital,1
July 2013,Sandema Hospital,0
July 2013,War Memorial Hospital,4
August 2013,Bawku Presby Hospital,4
August 2013,Zebilla Hospital,2
August 2013,"Regional Hospital, Bolgatanga",1
August 2013,Bongo Hospital,0
August 2013,Sandema Hospital,2
August 2013,War Memorial Hospital,0
September 2013,Bawku Presby Hospital,7
September 2013,Zebilla Hospital,1
September 2013,"Regional Hospital, Bolgatanga",1
September 2013,Bongo Hospital,0
September 2013,Sandema Hospital,0
September 2013,War Memorial Hospital,2
October 2013,Bawku Presby Hospital,5
October 2013,Zebilla Hospital,2
October 2013,"Regional Hospital, Bolgatanga",1
October 2013,Bongo Hospital,2
October 2013,Sandema Hospital,0
October 2013,War Memorial Hospital,0
November 2013,Bawku Presby Hospital,9
November 2013,Zebilla Hospital,3
November 2013,"Regional Hospital, Bolgatanga",1
November 2013,Bongo Hospital,0
November 2013,Sandema Hospital,0
November 2013,War Memorial Hospital,0
December 2013,Bawku Presby Hospital,3
December 2013,Zebilla Hospital,2
December 2013,"Regional Hospital, Bolgatanga",2
December 2013,Bongo Hospital,0
December 2013,Sandema Hospital,0
December 2013,War Memorial Hospital,1
January 2014,Bawku Presby Hospital,4
January 2014,Zebilla Hospital,5
January 2014,"Regional Hospital, Bolgatanga",3
January 2014,Bongo Hospital,2
January 2014,Sandema Hospital,1
January 2014,War Memorial Hospital,0
February 2014,Bawku Presby Hospital,3
February 2014,Zebilla Hospital,0
February 2014,"Regional Hospital, Bolgatanga",3
February 2014,Bongo Hospital,0
February 2014,Sandema Hospital,1
February 2014,War Memorial Hospital,1
March 2014,Bawku Presby Hospital,2
March 2014,Zebilla Hospital,2
March 2014,"Regional Hospital, Bolgatanga",5
March 2014,Bongo Hospital,2
March 2014,Sandema Hospital,0
March 2014,War Memorial Hospital,0
April 2014,Bawku Presby Hospital,0
April 2014,Zebilla Hospital,1
April 2014,"Regional Hospital, Bolgatanga",2
April 2014,Bongo Hospital,1
April 2014,Sandema Hospital,0
April 2014,War Memorial Hospital,0
May 2014,Bawku Presby Hospital,0
May 2014,Zebilla Hospital,0
May 2014,"Regional Hospital, Bolgatanga",1
May 2014,Bongo Hospital,0
May 2014,Sandema Hospital,3
May 2014,War Memorial Hospital,2
June 2014,Bawku Presby Hospital,1
June 2014,Zebilla Hospital,0
June 2014,"Regional Hospital, Bolgatanga",0
June 2014,Bongo Hospital,0
June 2014,Sandema Hospital,0
June 2014,War Memorial Hospital,0
July 2014,Bawku Presby Hospital,0
July 2014,Zebilla Hospital,1
July 2014,"Regional Hospital, Bolgatanga",2
July 2014,Bongo Hospital,0
July 2014,Sandema Hospital,1
July 2014,War Memorial Hospital,2
August 2014,Bawku Presby Hospital,1
August 2014,Zebilla Hospital,1
August 2014,"Regional Hospital, Bolgatanga",3
August 2014,Bongo Hospital,0
August 2014,Sandema Hospital,1
August 2014,War Memorial Hospital,0
September 2014,Bawku Presby Hospital,0
September 2014,Zebilla Hospital,0
September 2014,"Regional Hospital, Bolgatanga",4
September 2014,Bongo Hospital,1
September 2014,Sandema Hospital,3
September 2014,War Memorial Hospital,0
October 2014,Bawku Presby Hospital,1
October 2014,Zebilla Hospital,1
October 2014,"Regional Hospital, Bolgatanga",0
October 2014,Bongo Hospital,0
